season_id,episode_id,scene_id,utterance_id,speaker,transcript,emotion,character_entities,num_talked_about
s01,e01,c02,u007,Chandler Bing,"Ooh, she should not be wearing those pants.",No emotion available,['Woman 1'],1
s01,e01,c02,u008,Joey Tribbiani,I say push her down the stairs.,No emotion available,"['Joey Tribbiani', 'Woman 1']",2
s01,e01,c02,u009,Chandler Bing,Push her down the stairs! Push her down the stairs! Push her down the stairs!,No emotion available,['Woman 1'],1
s01,e01,c02,u011,Rachel Green,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",No emotion available,"['Rachel Green', 'Rachel Green', 'Rachel Green']",3
s01,e01,c02,u012,Ross Geller,You can see where he'd have trouble.,No emotion available,"['#GENERAL#', 'Rachel Green', 'Leonard Green']",3
s01,e01,c02,u013,Rachel Green,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",No emotion available,"['Rachel Green', 'Monica Geller']",2
s01,e01,c02,u014,Monica Geller,"Well, I guess we've established who's staying here with Monica...",No emotion available,"['Monica Geller', 'Ross Geller', 'Joey Tribbiani', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing', 'Monica Geller']",8
s01,e01,c02,u015,Rachel Green,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",No emotion available,"['Rachel Green', 'Leonard Green']",2
s01,e01,c02,u019,Rachel Green,I'm all better now.,No emotion available,['Rachel Green'],1
s01,e01,c02,u020,Phoebe Buffay,I helped!,No emotion available,['Phoebe Buffay'],1
s01,e01,c02,u022,Joey Tribbiani,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",No emotion available,"['Joey Tribbiani', 'Chandler Bing']",2
s01,e01,c02,u023,Monica Geller,"Joey, stop hitting on her! It's her wedding day!",No emotion available,['Rachel Green'],1
s01,e01,c02,u027,Paul the Wine Guy,"It's, uh, it's Paul.",No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u028,Monica Geller,"Oh God, is it 6:30? Buzz him in!",No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u029,Joey Tribbiani,Who's Paul?,No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u030,Ross Geller,"Paul the Wine Guy, Paul?",No emotion available,"['Paul the Wine Guy', 'Paul the Wine Guy']",2
s01,e01,c02,u031,Monica Geller,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,No emotion available,['Joey Tribbiani'],1
s01,e01,c02,u032,Ross Geller,He finally asked you out?,No emotion available,"['Paul the Wine Guy', 'Monica Geller']",2
s01,e01,c02,u035,Monica Geller,"Rach, wait, I can cancel...",No emotion available,"['Rachel Green', 'Monica Geller']",2
s01,e01,c02,u037,Monica Geller,"Are, are you okay? I mean, do you want me to stay?",No emotion available,"['Monica Geller', 'Rachel Green', 'Monica Geller']",3
s01,e01,c02,u040,Ross Geller,"No, go on! It's Paul the Wine Guy!",No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u041,Phoebe Buffay,"What does that mean? Does he sell it, drink it, or just complain a lot?",No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u043,Monica Geller,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u044,#ALL#,Hey! Paul! Hi! The Wine Guy! Hey!,No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u045,Chandler Bing,"I'm sorry, I didn't catch your name. Paul, was it?",No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u046,Monica Geller,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",No emotion available,"['Monica Geller', 'Monica Geller', 'Monica Geller']",3
s01,e01,c02,u051,Joey Tribbiani,"Hey, Paul!",No emotion available,['Paul the Wine Guy'],1
s01,e01,c02,u053,Joey Tribbiani,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",No emotion available,"['Monica Geller', 'Paul the Wine Guy', 'Monica Geller']",3
s01,e01,c02,u054,Monica Geller,"Shut up, Joey!",No emotion available,['Joey Tribbiani'],1
s01,e01,c02,u055,Ross Geller,"So Rachel, what're you, uh... what're you up to tonight?",No emotion available,['Rachel Green'],1
s01,e01,c02,u056,Rachel Green,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",No emotion available,"['Rachel Green', 'Rachel Green']",2
s01,e01,c02,u058,Chandler Bing,"Yes, and we're very excited about it.",No emotion available,"['Joey Tribbiani', 'Chandler Bing']",2
s01,e01,c02,u061,Joey Tribbiani,"Hey Pheebs, you wanna help?",No emotion available,"['Phoebe Buffay', 'Phoebe Buffay']",2
s01,e01,c02,u062,Phoebe Buffay,"Oh, I wish I could, but I don't want to.",No emotion available,"['Phoebe Buffay', 'Phoebe Buffay', 'Phoebe Buffay']",3
s01,e01,c04,u001,Ross Geller,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",Mad,"['Ross Geller', 'Ross Geller', 'Ross Geller', 'Ross Geller']",4
s01,e01,c04,u003,Joey Tribbiani,I'm thinking we've got a bookcase here.,Neutral,"['Joey Tribbiani', 'Ross Geller', 'Joey Tribbiani', 'Chandler Bing']",4
s01,e01,c04,u006,Chandler Bing,I would have to say that is an 'L'-shaped bracket.,Neutral,['Chandler Bing'],1
s01,e01,c04,u008,Chandler Bing,I have no idea.,Scared,['Chandler Bing'],1
s01,e01,c04,u012,Ross Geller,"This was Carol's favorite beer. She always drank it out of the can, I should have known.",Sad,"['Carol Willick', 'Ross Geller']",2
s01,e01,c04,u013,Joey Tribbiani,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",Mad,"['Ross Geller', 'Ross Geller', 'Joey Tribbiani', 'Chandler Bing']",4
s01,e01,c04,u015,Joey Tribbiani,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",Neutral,"['Carol Willick', 'Ross Geller']",2
s01,e01,c04,u016,Ross Geller,You guys.,Sad,"['Joey Tribbiani', 'Chandler Bing']",2
s01,e01,c04,u018,Joey Tribbiani,You got screwed.,Mad,['Ross Geller'],1
s01,e01,c05,u002,Paul the Wine Guy,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Sad,"['Paul the Wine Guy', 'Paul the Wine Guy', ""Paul's ex-girlfriend"", 'Person 1']",4
s01,e01,c05,u003,Monica Geller,"My brother's going through that right now, he's such a mess. How did you get through it?",Sad,['Paul the Wine Guy'],1
s01,e01,c05,u004,Paul the Wine Guy,"Well, you might try accidentally breaking something valuable of hers, say her-",Powerful,"['Monica Geller', ""Paul's ex-girlfriend"", ""Paul's ex-girlfriend""]",3
s01,e01,c05,u006,Paul the Wine Guy,"That's one way! Me, I- I went for the watch.",Joyful,"['Paul the Wine Guy', 'Paul the Wine Guy', 'Paul the Wine Guy']",3
s01,e01,c05,u008,Paul the Wine Guy,"Ooh, steer clear of you.",Peaceful,['Monica Geller'],1
s01,e01,c06,u001,Rachel Green,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...",No emotion available,['Rachel Green'],1
s01,e01,c07,u001,Ross Geller,I'm divorced! I'm only 26 and I'm divorced!,Sad,"['Ross Geller', 'Ross Geller']",2
s01,e01,c07,u003,Chandler Bing,You must stop!,Mad,['Ross Geller'],1
s01,e01,c07,u004,Ross Geller,That only took me an hour.,Sad,['Ross Geller'],1
s01,e01,c07,u005,Chandler Bing,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",Sad,"['Ross Geller', 'Carol Willick']",2
s01,e01,c07,u006,Ross Geller,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",Scared,['#GENERAL#'],1
s01,e01,c07,u007,Joey Tribbiani,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",Powerful,['#GENERAL#'],1
s01,e01,c07,u008,Ross Geller,I honestly don't know if I'm hungry or horny.,Scared,"['Ross Geller', 'Ross Geller']",2
s01,e01,c07,u009,Chandler Bing,Stay out of my freezer!,Mad,['Chandler Bing'],1
s01,e01,c08,u001,Paul the Wine Guy,"Ever since she walked out on me, I, uh...",Sad,"[""Paul's ex-girlfriend"", 'Paul the Wine Guy', 'Paul the Wine Guy']",3
s01,e01,c08,u002,Monica Geller,"What?..... What, you wanna spell it out with noodles?",Neutral,['Paul the Wine Guy'],1
s01,e01,c08,u006,Monica Geller,"Yeah... yeah, I think there is. -What were you gonna say?",Neutral,['Monica Geller'],1
s01,e01,c08,u007,Paul the Wine Guy,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",Sad,"[""Paul's ex-girlfriend"", 'Paul the Wine Guy', 'Paul the Wine Guy']",3
s01,e01,c08,u008,Monica Geller,"Oh God, oh God, I am sorry... I am so sorry...",Neutral,['Monica Geller'],1
s01,e01,c08,u012,Monica Geller,Wow! I'm-I'm-I'm glad you smashed her watch!,Joyful,"['Monica Geller', 'Monica Geller', 'Monica Geller', 'Paul the Wine Guy', ""Paul's ex-girlfriend""]",5
s01,e01,c09,u001,Priest On Tv,"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.",No emotion available,"['#GENERAL#', 'Joanne Louise Cunningham', 'Charles', 'Chachi']",4
s01,e01,c10,u001,Ross Geller,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",Peaceful,"['Joey Tribbiani', 'Ross Geller']",2
s01,e01,c10,u002,Joey Tribbiani,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",Scared,"['Joey Tribbiani', 'Joey Tribbiani', 'Joey Tribbiani', ""Joey's date"", ""Joey's date"", ""Joey's date""]",6
s01,e01,c10,u003,Chandler Bing,"Angela's the screamer, Andrea has cats.",Joyful,"['Angela Delveccio', 'Andrea']",2
s01,e01,c10,u005,Ross Geller,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Sad,"['Ross Geller', '#GENERAL#']",2
s01,e01,c11,u001,Rachel Green,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",No emotion available,"['Rachel Green', 'Rachel Green', 'Rachel Green']",3
s01,e01,c11,u004,Rachel Green,"Y'know, I figure if I can make coffee, there isn't anything I can't do.",No emotion available,"['Rachel Green', 'Rachel Green', 'Rachel Green']",3
s01,e01,c11,u005,Chandler Bing,"If can invade Poland, there isn't anything I can't do.",No emotion available,['Chandler Bing'],1
s01,e01,c11,u006,Joey Tribbiani,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry...",No emotion available,['Joey Tribbiani'],1
s01,e01,c11,u007,Monica Geller,"Oh good, Lenny and Squigy are here.",No emotion available,"['#GENERAL#', 'Paul the Wine Guy', '#GENERAL#']",3
s01,e01,c11,u010,Joey Tribbiani,"Morning, Paul.",No emotion available,['Paul the Wine Guy'],1
s01,e01,c11,u011,Rachel Green,"Hello, Paul.",No emotion available,['Paul the Wine Guy'],1
s01,e01,c11,u012,Chandler Bing,"Hi, Paul, is it?",No emotion available,['Paul the Wine Guy'],1
s01,e01,c11,u014,Paul the Wine Guy,Thank you! Thank you so much!,No emotion available,"['Joey Tribbiani', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",4
s01,e01,c11,u016,Paul the Wine Guy,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",No emotion available,"['Paul the Wine Guy', 'Monica Geller', 'Paul the Wine Guy']",3
s01,e01,c11,u017,Monica Geller,We'll talk later.,No emotion available,"['Paul the Wine Guy', 'Monica Geller']",2
s01,e01,c11,u018,Paul the Wine Guy,Yeah. Thank you.,No emotion available,['Monica Geller'],1
s01,e01,c11,u019,Joey Tribbiani,That wasn't a real date?! What the hell do you do on a real date?,No emotion available,['Monica Geller'],1
s01,e01,c11,u020,Monica Geller,"Shut up, and put my table back.",No emotion available,['Monica Geller'],1
s01,e01,c11,u022,Chandler Bing,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",No emotion available,['Chandler Bing'],1
s01,e01,c11,u023,Rachel Green,"So, like, you guys all have jobs?",No emotion available,"['Joey Tribbiani', '#GENERAL#', 'Monica Geller', 'Chandler Bing']",4
s01,e01,c11,u024,Monica Geller,"Yeah, we all have jobs. See, that's how we buy stuff.",No emotion available,"['Joey Tribbiani', 'Monica Geller', 'Chandler Bing']",3
s01,e01,c11,u025,Joey Tribbiani,"Yeah, I'm an actor.",No emotion available,"['Joey Tribbiani', 'Joey Tribbiani']",2
s01,e01,c11,u026,Rachel Green,Wow! Would I have seen you in anything?,No emotion available,"['Rachel Green', 'Joey Tribbiani']",2
s01,e01,c11,u028,Monica Geller,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",No emotion available,['Rachel Green'],1
s01,e01,c11,u031,Joey Tribbiani,I will not take this abuse.,No emotion available,['Joey Tribbiani'],1
s01,e01,c11,u032,Chandler Bing,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy...""",No emotion available,"['Joey Tribbiani', 'Joey Tribbiani', 'Joey Tribbiani']",3
s01,e01,c11,u033,Joey Tribbiani,"You should both know, that he's a dead man. Oh, Chandler?",No emotion available,['Chandler Bing'],1
s01,e01,c11,u034,Monica Geller,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,No emotion available,['Rachel Green'],1
s01,e01,c11,u035,Rachel Green,I can see that. You look like you slept with a hanger in your mouth.,No emotion available,"['Monica Geller', 'Monica Geller', 'Monica Geller']",3
s01,e01,c11,u036,Monica Geller,"I know, he's just so, so... Do you remember you and Tony DeMarco?",No emotion available,"['Rachel Green', 'Rachel Green', 'Tony DeMarco']",3
s01,e01,c11,u039,Rachel Green,Oh wow. Are you in trouble.,No emotion available,['Monica Geller'],1
s01,e01,c11,u043,Rachel Green,"Oh, look, wish me luck!",No emotion available,['Rachel Green'],1
s01,e01,c11,u045,Rachel Green,I'm gonna go get one of those job things.,No emotion available,['Rachel Green'],1
s01,e01,c12,u001,Franny,"Hey, Monica!",Joyful,['Monica Geller'],1
s01,e01,c12,u003,Franny,"You had sex, didn't you?",Neutral,"['Monica Geller', 'Monica Geller']",2
s01,e01,c12,u004,Monica Geller,How do you do that?,Neutral,['Franny'],1
s01,e01,c12,u006,Monica Geller,You know Paul?,Neutral,"['Franny', 'Paul the Wine Guy']",2
s01,e01,c12,u007,Franny,"Paul the Wine Guy? Oh yeah, I know Paul.",Neutral,"['Franny', 'Paul the Wine Guy']",2
s01,e01,c12,u008,Monica Geller,You mean you know Paul like I know Paul?,Neutral,"['Franny', 'Franny', 'Paul the Wine Guy', 'Monica Geller', 'Paul the Wine Guy']",5
s01,e01,c12,u009,Franny,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Neutral,"['Franny', 'Paul the Wine Guy']",2
s01,e01,c13,u003,Ross Geller,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,Neutral,"['Ross Geller', 'Ross Geller', 'Joey Tribbiani', 'Phoebe Buffay', 'Monica Geller', 'Monica Geller']",6
s01,e01,c13,u004,Monica Geller,I hate men! I hate men!,Mad,['Monica Geller'],1
s01,e01,c13,u005,Phoebe Buffay,"Oh no, don't hate, you don't want to put that out into the universe.",Peaceful,['Monica Geller'],1
s01,e01,c13,u006,Monica Geller,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,Mad,['Monica Geller'],1
s01,e01,c13,u007,Phoebe Buffay,"All right, c'mere, gimme your feet.",Peaceful,"['Phoebe Buffay', 'Monica Geller']",2
s01,e01,c13,u008,Monica Geller,"I just thought he was nice, y'know?",Sad,"['Monica Geller', 'Man 1']",2
s01,e01,c13,u009,Joey Tribbiani,I can't believe you didn't know it was a line!,Joyful,"['Joey Tribbiani', 'Monica Geller']",2
s01,e01,c13,u012,Ross Geller,You got a job?,Neutral,['Rachel Green'],1
s01,e01,c13,u013,Rachel Green,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,Mad,['Rachel Green'],1
s01,e01,c13,u014,Chandler Bing,And yet you're surprisingly upbeat.,Neutral,['Rachel Green'],1
s01,e01,c13,u015,Rachel Green,"You would be too if you found John and David boots on sale, fifty percent off!",Joyful,"['Chandler Bing', 'Chandler Bing', '#OTHER#']",3
s01,e01,c13,u016,Chandler Bing,"Oh, how well you know me...",Neutral,"['Rachel Green', 'Chandler Bing']",2
s01,e01,c13,u017,Rachel Green,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",Joyful,"['Non-Entity', 'Rachel Green', 'Rachel Green', 'Rachel Green', 'Rachel Green', 'Rachel Green']",6
s01,e01,c13,u018,Monica Geller,How'd you pay for them?,Neutral,"['Rachel Green', 'Non-Entity']",2
s01,e01,c14,u001,Rachel Green,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",No emotion available,"['Rachel Green', 'Rachel Green', 'Rachel Green']",3
s01,e01,c14,u002,Monica Geller,"C'mon, you can't live off your parents your whole life.",No emotion available,"['Rachel Green', 'Rachel Green', 'Rachel Green']",3
s01,e01,c14,u003,Rachel Green,I know that. That's why I was getting married.,No emotion available,['Rachel Green'],1
s01,e01,c14,u004,Phoebe Buffay,"Give her a break, it's hard being on your own for the first time.",No emotion available,"['Rachel Green', 'Rachel Green']",2
s01,e01,c14,u005,Rachel Green,Thank you.,No emotion available,['Phoebe Buffay'],1
s01,e01,c14,u006,Phoebe Buffay,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",No emotion available,"['Phoebe Buffay', 'Phoebe Buffay']",2
s01,e01,c14,u008,Ross Geller,The word you're looking for is 'Anyway'...,No emotion available,['Phoebe Buffay'],1
s01,e01,c14,u009,Monica Geller,"All right, you ready?",No emotion available,['Rachel Green'],1
s01,e01,c14,u010,Rachel Green,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!",No emotion available,['Rachel Green'],1
s01,e01,c14,u011,Monica Geller,"You can, I know you can!",No emotion available,"['Rachel Green', 'Monica Geller', 'Rachel Green']",3
s01,e01,c14,u012,Rachel Green,I don't think so.,No emotion available,['Rachel Green'],1
s01,e01,c14,u013,Ross Geller,"Come on, you made coffee! You can do anything!",No emotion available,['Rachel Green'],1
s01,e01,c14,u016,Rachel Green,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...,No emotion available,"['Rachel Green', 'Ross Geller', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",6
s01,e01,c14,u019,Chandler Bing,"Y'know, if you listen closely, you can hear a thousand retailers scream.",No emotion available,"['Ross Geller', '#GENERAL#', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Ross Geller', '#GENERAL#', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller']",10
s01,e01,c14,u023,Monica Geller,"Well, that's it You gonna crash on the couch?",No emotion available,['Ross Geller'],1
s01,e01,c14,u024,Ross Geller,"No. No, I gotta go home sometime.",No emotion available,['Ross Geller'],1
s01,e01,c14,u025,Monica Geller,You be okay?,No emotion available,['Ross Geller'],1
s01,e01,c14,u028,Monica Geller,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",No emotion available,"['Rachel Green', 'Rachel Green']",2
s01,e01,c14,u034,Rachel Green,"No, you have it, really, I don't want it-",No emotion available,"['Ross Geller', 'Rachel Green']",2
s01,e01,c14,u037,Ross Geller,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",No emotion available,"['Rachel Green', 'Rachel Green', 'Ross Geller', 'Rachel Green']",4
s01,e01,c14,u038,Rachel Green,I knew.,No emotion available,['Rachel Green'],1
s01,e01,c14,u040,Rachel Green,I did.,No emotion available,['Rachel Green'],1
s01,e01,c14,u041,Ross Geller,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",No emotion available,"['Rachel Green', 'Ross Geller', 'Rachel Green', 'Ross Geller', 'Rachel Green']",5
s01,e01,c14,u043,Ross Geller,"Okay... okay, maybe I will...",No emotion available,['Ross Geller'],1
s01,e01,c14,u047,Monica Geller,"See ya.... Waitwait, what's with you?",No emotion available,['Ross Geller'],1
s01,e01,c14,u048,Ross Geller,I just grabbed a spoon.,No emotion available,['Ross Geller'],1
s01,e01,c15,u001,Joey Tribbiani,I can't believe what I'm hearing here.,Neutral,"['Joey Tribbiani', 'Joey Tribbiani']",2
s01,e01,c15,u002,Phoebe Buffay,I can't believe what I'm hearing here...,Joyful,"['Phoebe Buffay', 'Phoebe Buffay']",2
s01,e01,c15,u003,Monica Geller,What? I-I said you had a-,Scared,"['Monica Geller', 'Monica Geller', 'Phoebe Buffay']",3
s01,e01,c15,u004,Phoebe Buffay,What I said you had...,Joyful,"['Phoebe Buffay', 'Monica Geller']",2
s01,e01,c15,u005,Monica Geller,Would you stop?,Mad,['Phoebe Buffay'],1
s01,e01,c15,u006,Phoebe Buffay,"Oh, was I doing it again?",Neutral,['Phoebe Buffay'],1
s01,e01,c15,u008,Monica Geller,"I said that you had a nice butt, it's just not a great butt.",Peaceful,"['Monica Geller', 'Joey Tribbiani']",2
s01,e01,c15,u009,Joey Tribbiani,"Oh, you wouldn't know a great butt if it came up and bit ya.",Joyful,"['Monica Geller', 'Monica Geller']",2
